,nflverse_game_id,old_game_id,play_id,possession_team,offense_formation,offense_personnel,defenders_in_box,defense_personnel,number_of_pass_rushers,ngs_air_yards,time_to_throw,was_pressure,route,defense_man_zone_type,defense_coverage_type
4,2021_01_DAL_TB,2021090900,97,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",5.0,15.19,3.336,True,CROSS,MAN_COVERAGE,COVER_1
6,2021_01_DAL_TB,2021090900,137,DAL,EMPTY,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 4 LB, 3 DB",5.0,22.48,2.516,False,GO,ZONE_COVERAGE,COVER_3
8,2021_01_DAL_TB,2021090900,187,DAL,SHOTGUN,"0 RB, 2 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,4.84,2.236,False,HITCH,ZONE_COVERAGE,COVER_4
11,2021_01_DAL_TB,2021090900,253,DAL,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB",5.0,-3.0,2.636,False,SCREEN,ZONE_COVERAGE,COVER_3
12,2021_01_DAL_TB,2021090900,282,DAL,SINGLEBACK,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB",5.0,20.35,3.237,False,OUT,ZONE_COVERAGE,COVER_3
13,2021_01_DAL_TB,2021090900,304,DAL,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB",4.0,6.18,1.735,False,HITCH,ZONE_COVERAGE,COVER_2
15,2021_01_DAL_TB,2021090900,349,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 4 LB, 4 DB",5.0,14.06,2.569,True,OUT,ZONE_COVERAGE,COVER_3
18,2021_01_DAL_TB,2021090900,410,TB,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",5.0,6.19,1.568,False,SLANT,MAN_COVERAGE,COVER_1
19,2021_01_DAL_TB,2021090900,434,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",5.0,5.64,1.702,False,HITCH,ZONE_COVERAGE,COVER_3
20,2021_01_DAL_TB,2021090900,456,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,15.21,2.502,False,POST,ZONE_COVERAGE,COVER_6
21,2021_01_DAL_TB,2021090900,480,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,23.5,3.47,False,GO,ZONE_COVERAGE,COVER_3
22,2021_01_DAL_TB,2021090900,509,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,13.15,2.769,False,HITCH,ZONE_COVERAGE,COVER_4
24,2021_01_DAL_TB,2021090900,559,TB,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,6.55,2.403,True,HITCH,ZONE_COVERAGE,COVER_4
25,2021_01_DAL_TB,2021090900,583,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",5.0,9.02,1.969,False,SLANT,MAN_COVERAGE,COVER_1
28,2021_01_DAL_TB,2021090900,639,DAL,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-5.53,1.435,False,CROSS,ZONE_COVERAGE,COVER_4
29,2021_01_DAL_TB,2021090900,663,DAL,PISTOL,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB",4.0,-3.67,1.268,False,SCREEN,MAN_COVERAGE,COVER_1
30,2021_01_DAL_TB,2021090900,687,DAL,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB",5.0,6.98,2.202,True,SLANT,MAN_COVERAGE,COVER_1
31,2021_01_DAL_TB,2021090900,711,DAL,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB",4.0,-4.62,0.901,False,CROSS,ZONE_COVERAGE,COVER_3
32,2021_01_DAL_TB,2021090900,735,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",3.0,8.67,3.87,False,HITCH,ZONE_COVERAGE,COVER_2
33,2021_01_DAL_TB,2021090900,764,DAL,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,1.19,2.503,False,FLAT,ZONE_COVERAGE,COVER_4
34,2021_01_DAL_TB,2021090900,788,DAL,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB",6.0,14.15,2.903,True,GO,MAN_COVERAGE,COVER_1
38,2021_01_DAL_TB,2021090900,869,TB,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",5.0,14.27,2.536,False,CROSS,ZONE_COVERAGE,COVER_3
40,2021_01_DAL_TB,2021090900,925,TB,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,3.51000000000001,3.57,True,ANGLE,MAN_COVERAGE,COVER_1
41,2021_01_DAL_TB,2021090900,947,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,15.55,3.837,False,IN,ZONE_COVERAGE,COVER_2
45,2021_01_DAL_TB,2021090900,1054,DAL,SHOTGUN,"1 RB, 0 TE, 4 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,1.72,1.701,False,OUT,ZONE_COVERAGE,COVER_3
46,2021_01_DAL_TB,2021090900,1078,DAL,SHOTGUN,"1 RB, 0 TE, 4 WR",5.0,"3 DL, 3 LB, 5 DB",4.0,4.07,2.736,False,OUT,ZONE_COVERAGE,COVER_4
51,2021_01_DAL_TB,2021090900,1203,TB,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB",3.0,4.98,2.436,False,HITCH,ZONE_COVERAGE,COVER_2
52,2021_01_DAL_TB,2021090900,1227,TB,SHOTGUN,"1 RB, 2 TE, 2 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,3.09,1.601,False,FLAT,MAN_COVERAGE,2_MAN
53,2021_01_DAL_TB,2021090900,1267,TB,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,14.38,3.17,False,HITCH,ZONE_COVERAGE,COVER_4
55,2021_01_DAL_TB,2021090900,1312,TB,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",6.0,0.99,2.936,False,FLAT,MAN_COVERAGE,COVER_1
58,2021_01_DAL_TB,2021090900,1368,DAL,SINGLEBACK,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB",4.0,13.51,2.369,False,IN,ZONE_COVERAGE,COVER_3
60,2021_01_DAL_TB,2021090900,1425,DAL,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB",3.0,6.14,5.605,False,CROSS,ZONE_COVERAGE,COVER_3
61,2021_01_DAL_TB,2021090900,1482,DAL,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB",4.0,-2.27,1.434,False,SCREEN,ZONE_COVERAGE,COVER_4
63,2021_01_DAL_TB,2021090900,1539,DAL,EMPTY,"1 RB, 2 TE, 2 WR",5.0,"4 DL, 3 LB, 4 DB",3.0,-2.98,1.001,False,SCREEN,ZONE_COVERAGE,COVER_4
64,2021_01_DAL_TB,2021090900,1563,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",5.0,3.48,2.636,False,IN,ZONE_COVERAGE,COVER_3
65,2021_01_DAL_TB,2021090900,1587,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",6.0,14.67,2.502,False,CORNER,MAN_COVERAGE,COVER_1
69,2021_01_DAL_TB,2021090900,1687,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 4 LB, 5 DB",5.0,25.78,3.237,False,GO,ZONE_COVERAGE,COVER_3
71,2021_01_DAL_TB,2021090900,1726,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",6.0,11.98,2.202,False,HITCH,MAN_COVERAGE,COVER_0
73,2021_01_DAL_TB,2021090900,1776,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 4 LB, 5 DB",7.0,7.31,2.802,False,GO,MAN_COVERAGE,COVER_0
76,2021_01_DAL_TB,2021090900,1868,TB,I_FORM,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",5.0,-2.17,2.502,False,SCREEN,ZONE_COVERAGE,COVER_4
77,2021_01_DAL_TB,2021090900,1894,DAL,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB",1.0,-2.55,1.068,False,SCREEN,ZONE_COVERAGE,COVER_3
78,2021_01_DAL_TB,2021090900,1918,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",5.0,22.68,2.169,False,GO,ZONE_COVERAGE,COVER_3
79,2021_01_DAL_TB,2021090900,1940,DAL,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB",4.0,17.42,2.67,False,POST,ZONE_COVERAGE,COVER_4
82,2021_01_DAL_TB,2021090900,2008,TB,EMPTY,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB",4.0,4.91,1.769,False,HITCH,ZONE_COVERAGE,COVER_2
83,2021_01_DAL_TB,2021090900,2032,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,42.27,3.503,True,GO,MAN_COVERAGE,2_MAN
86,2021_01_DAL_TB,2021090900,2088,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,7.74,1.935,False,SLANT,ZONE_COVERAGE,COVER_4
89,2021_01_DAL_TB,2021090900,2169,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,6.31,2.169,False,HITCH,ZONE_COVERAGE,COVER_4
90,2021_01_DAL_TB,2021090900,2211,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,10.71,3.203,True,HITCH,ZONE_COVERAGE,COVER_4
91,2021_01_DAL_TB,2021090900,2233,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",4.0,5.17,2.602,True,HITCH,ZONE_COVERAGE,COVER_4
98,2021_01_DAL_TB,2021090900,2397,TB,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",2.0,12.04,4.171,False,OUT,MAN_COVERAGE,2_MAN
99,2021_01_DAL_TB,2021090900,2419,TB,SHOTGUN,"1 RB, 0 TE, 4 WR",4.0,"2 DL, 2 LB, 7 DB",3.0,10.89,1.936,False,OUT,ZONE_COVERAGE,PREVENT
103,2021_01_DAL_TB,2021090900,2508,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",2.0,3.87,1.668,False,OUT,ZONE_COVERAGE,COVER_2
104,2021_01_DAL_TB,2021090900,2530,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,1.06,2.369,False,FLAT,ZONE_COVERAGE,COVER_2
105,2021_01_DAL_TB,2021090900,2554,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 4 LB, 4 DB",5.0,10.46,2.169,True,OUT,ZONE_COVERAGE,COVER_3
106,2021_01_DAL_TB,2021090900,2587,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",3.0,5.04,1.969,False,OUT,ZONE_COVERAGE,COVER_2
108,2021_01_DAL_TB,2021090900,2632,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,13.58,2.903,True,IN,ZONE_COVERAGE,COVER_4
109,2021_01_DAL_TB,2021090900,2656,DAL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",5.0,5.45,1.801,False,SLANT,ZONE_COVERAGE,COVER_2
111,2021_01_DAL_TB,2021090900,2711,DAL,PISTOL,"2 RB, 0 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",3.0,-4.81999999999999,1.402,False,FLAT,ZONE_COVERAGE,COVER_3
