,nflverse_game_id,old_game_id,play_id,possession_team,offense_formation,offense_personnel,defenders_in_box,defense_personnel,number_of_pass_rushers,ngs_air_yards,time_to_throw,was_pressure,route,defense_man_zone_type,defense_coverage_type
3,2020_01_HOU_KC,2020091000,75,HOU,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",5.0,17.94,2.235,False,GO,MAN_COVERAGE,COVER_1
5,2020_01_HOU_KC,2020091000,120,HOU,SHOTGUN,"2 RB, 0 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB",4.0,-3.2,2.87,True,FLAT,ZONE_COVERAGE,COVER_2
9,2020_01_HOU_KC,2020091000,202,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 3 LB, 6 DB",4.0,-2.56,1.635,False,FLAT,MAN_COVERAGE,COVER_1
10,2020_01_HOU_KC,2020091000,226,KC,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB",3.0,-3.43,0.7,False,CROSS,ZONE_COVERAGE,COVER_3
11,2020_01_HOU_KC,2020091000,255,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,5.08,1.635,False,HITCH,ZONE_COVERAGE,COVER_2
12,2020_01_HOU_KC,2020091000,279,KC,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 3 LB, 5 DB",5.0,37.63,3.537,False,GO,MAN_COVERAGE,COVER_1
14,2020_01_HOU_KC,2020091000,365,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"2 DL, 2 LB, 7 DB",5.0,-1.87,3.403,False,FLAT,ZONE_COVERAGE,COVER_3
17,2020_01_HOU_KC,2020091000,425,HOU,EMPTY,"2 RB, 1 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,6.15000000000001,1.969,False,HITCH,ZONE_COVERAGE,COVER_2
19,2020_01_HOU_KC,2020091000,470,HOU,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,-3.23,2.87,False,SCREEN,ZONE_COVERAGE,COVER_2
20,2020_01_HOU_KC,2020091000,494,HOU,EMPTY,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB",5.0,3.92,1.635,True,OUT,ZONE_COVERAGE,COVER_4
22,2020_01_HOU_KC,2020091000,539,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 1 LB, 6 DB",4.0,11.24,3.537,False,IN,ZONE_COVERAGE,COVER_3
23,2020_01_HOU_KC,2020091000,563,HOU,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB",6.0,-7.69,2.669,True,SCREEN,ZONE_COVERAGE,COVER_4
27,2020_01_HOU_KC,2020091000,643,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",3.0,3.34,2.035,False,HITCH,ZONE_COVERAGE,COVER_3
31,2020_01_HOU_KC,2020091000,735,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-1.53,2.302,False,SCREEN,ZONE_COVERAGE,COVER_2
32,2020_01_HOU_KC,2020091000,759,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB",4.0,1.55,1.701,False,OUT,ZONE_COVERAGE,COVER_3
34,2020_01_HOU_KC,2020091000,804,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",3.0,6.49,1.835,False,SLANT,MAN_COVERAGE,COVER_1
36,2020_01_HOU_KC,2020091000,847,KC,SHOTGUN,"1 RB, 2 TE, 2 WR",8.0,"3 DL, 3 LB, 5 DB",3.0,-0.440000000000001,1.802,False,FLAT,MAN_COVERAGE,COVER_1
37,2020_01_HOU_KC,2020091000,871,KC,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",5.0,12.83,3.67,False,CROSS,MAN_COVERAGE,COVER_0
38,2020_01_HOU_KC,2020091000,893,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 3 LB, 6 DB",4.0,7.14,2.235,True,SLANT,MAN_COVERAGE,COVER_1
41,2020_01_HOU_KC,2020091000,949,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",3.0,8.77,2.269,False,SLANT,ZONE_COVERAGE,COVER_6
46,2020_01_HOU_KC,2020091000,1067,KC,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB",5.0,-0.510000000000005,3.003,True,FLAT,ZONE_COVERAGE,COVER_3
48,2020_01_HOU_KC,2020091000,1112,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,18.7,2.97,False,CORNER,ZONE_COVERAGE,COVER_2
52,2020_01_HOU_KC,2020091000,1202,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",5.0,-0.0699999999999932,2.636,False,FLAT,MAN_COVERAGE,COVER_1
59,2020_01_HOU_KC,2020091000,1364,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 3 LB, 6 DB",4.0,2.06,2.837,True,CROSS,MAN_COVERAGE,COVER_1
60,2020_01_HOU_KC,2020091000,1393,KC,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 3 LB, 5 DB",3.0,2.77,2.936,False,OUT,ZONE_COVERAGE,COVER_2
62,2020_01_HOU_KC,2020091000,1483,KC,SINGLEBACK,"2 RB, 2 TE, 1 WR",6.0,"3 DL, 4 LB, 4 DB",5.0,-0.720000000000001,0.767,False,SCREEN,MAN_COVERAGE,COVER_0
65,2020_01_HOU_KC,2020091000,1546,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB",4.0,-0.600000000000001,2.202,False,CROSS,MAN_COVERAGE,COVER_1
70,2020_01_HOU_KC,2020091000,1646,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB",5.0,17.13,2.402,False,GO,MAN_COVERAGE,COVER_1
71,2020_01_HOU_KC,2020091000,1668,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 1 LB, 6 DB",4.0,2.38,4.205,False,ANGLE,ZONE_COVERAGE,COVER_6
72,2020_01_HOU_KC,2020091000,1697,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 1 LB, 6 DB",4.0,3.04,3.003,True,CROSS,MAN_COVERAGE,COVER_1
73,2020_01_HOU_KC,2020091000,1719,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 1 LB, 6 DB",6.0,5.01,1.802,False,OUT,MAN_COVERAGE,COVER_1
75,2020_01_HOU_KC,2020091000,1765,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 1 LB, 6 DB",5.0,2.0,5.306,True,FLAT,ZONE_COVERAGE,COVER_2
76,2020_01_HOU_KC,2020091000,1787,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 1 LB, 6 DB",5.0,27.76,3.07,False,GO,MAN_COVERAGE,COVER_1
78,2020_01_HOU_KC,2020091000,1830,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"2 DL, 3 LB, 6 DB",4.0,7.02,1.936,False,HITCH,MAN_COVERAGE,COVER_1
79,2020_01_HOU_KC,2020091000,1852,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"2 DL, 3 LB, 6 DB",4.0,15.26,2.969,False,CORNER,MAN_COVERAGE,COVER_1
81,2020_01_HOU_KC,2020091000,1893,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"2 DL, 3 LB, 6 DB",4.0,3.38,2.536,False,SLANT,MAN_COVERAGE,COVER_1
86,2020_01_HOU_KC,2020091000,2012,KC,SHOTGUN,"1 RB, 2 TE, 2 WR",8.0,"3 DL, 4 LB, 4 DB",4.0,5.34999999999999,1.535,False,OUT,ZONE_COVERAGE,COVER_2
88,2020_01_HOU_KC,2020091000,2067,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,5.64,2.102,False,SLANT,MAN_COVERAGE,COVER_1
91,2020_01_HOU_KC,2020091000,2147,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 3 LB, 6 DB",3.0,0.369999999999997,0.8,False,FLAT,ZONE_COVERAGE,COVER_2
92,2020_01_HOU_KC,2020091000,2176,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-1.49,3.937,False,CROSS,ZONE_COVERAGE,COVER_2
96,2020_01_HOU_KC,2020091000,2260,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,7.44,2.202,False,SLANT,ZONE_COVERAGE,COVER_3
99,2020_01_HOU_KC,2020091000,2326,HOU,PISTOL,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",5.0,5.06,1.833,False,SLANT,ZONE_COVERAGE,COVER_3
106,2020_01_HOU_KC,2020091000,2498,KC,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",5.0,12.95,2.97,False,CORNER,MAN_COVERAGE,COVER_0
108,2020_01_HOU_KC,2020091000,2544,KC,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",5.0,-6.67,3.77,True,SCREEN,MAN_COVERAGE,COVER_1
109,2020_01_HOU_KC,2020091000,2569,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 2 LB, 7 DB",5.0,13.5,2.302,True,CROSS,MAN_COVERAGE,COVER_1
112,2020_01_HOU_KC,2020091000,2635,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 3 LB, 6 DB",5.0,-6.63,1.769,False,FLAT,ZONE_COVERAGE,COVER_2
117,2020_01_HOU_KC,2020091000,2753,HOU,EMPTY,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",3.0,12.72,2.736,False,POST,ZONE_COVERAGE,COVER_2
118,2020_01_HOU_KC,2020091000,2777,HOU,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 2 LB, 5 DB",5.0,28.73,4.405,True,CROSS,ZONE_COVERAGE,COVER_4
120,2020_01_HOU_KC,2020091000,2840,KC,SHOTGUN,"1 RB, 2 TE, 2 WR",8.0,"3 DL, 3 LB, 5 DB",2.0,4.8,1.468,False,OUT,MAN_COVERAGE,COVER_0
126,2020_01_HOU_KC,2020091000,2988,KC,SHOTGUN,"1 RB, 1 TE, 3 WR",8.0,"3 DL, 3 LB, 5 DB",6.0,9.22,3.069,False,CROSS,MAN_COVERAGE,COVER_0
129,2020_01_HOU_KC,2020091000,3051,HOU,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB",6.0,6.86,1.468,False,SLANT,ZONE_COVERAGE,COVER_4
130,2020_01_HOU_KC,2020091000,3075,HOU,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB",4.0,-2.7,2.769,False,FLAT,ZONE_COVERAGE,COVER_2
