,nflverse_game_id,old_game_id,play_id,possession_team,offense_formation,offense_personnel,defenders_in_box,defense_personnel,number_of_pass_rushers,ngs_air_yards,time_to_throw,was_pressure,route,defense_man_zone_type,defense_coverage_type
36,2022_01_BUF_LA,2022090800,867,BUF,SINGLEBACK,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB",5.0,-1.52,2.502,True,FLAT,ZONE_COVERAGE,COVER_6
39,2022_01_BUF_LA,2022090800,954,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,3.66,2.675,True,OUT,ZONE_COVERAGE,COVER_6
40,2022_01_BUF_LA,2022090800,980,BUF,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"3 DL, 4 LB, 4 DB",4.0,4.53,2.843,False,HITCH,ZONE_COVERAGE,COVER_3
42,2022_01_BUF_LA,2022090800,1030,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB",4.0,10.08,2.102,False,HITCH,ZONE_COVERAGE,COVER_3
43,2022_01_BUF_LA,2022090800,1054,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,9.72,2.836,False,HITCH,ZONE_COVERAGE,COVER_3
44,2022_01_BUF_LA,2022090800,1078,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-5.09999999999999,1.935,False,SCREEN,ZONE_COVERAGE,COVER_4
45,2022_01_BUF_LA,2022090800,1102,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-3.11,1.835,False,FLAT,ZONE_COVERAGE,COVER_4
46,2022_01_BUF_LA,2022090800,1126,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",6.0,12.71,2.102,False,OUT,MAN_COVERAGE,COVER_1
50,2022_01_BUF_LA,2022090800,1208,LA,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,5.06,3.103,False,OUT,ZONE_COVERAGE,COVER_3
51,2022_01_BUF_LA,2022090800,1230,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,6.65,2.436,False,HITCH,ZONE_COVERAGE,COVER_6
53,2022_01_BUF_LA,2022090800,1286,LA,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,-1.04,2.937,False,CROSS,ZONE_COVERAGE,COVER_2
55,2022_01_BUF_LA,2022090800,1334,LA,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,12.61,4.338,False,HITCH,ZONE_COVERAGE,COVER_3
56,2022_01_BUF_LA,2022090800,1358,LA,EMPTY,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,-1.29,1.568,False,SCREEN,ZONE_COVERAGE,COVER_3
59,2022_01_BUF_LA,2022090800,1427,LA,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,13.0,2.499,False,CORNER,MAN_COVERAGE,COVER_0
66,2022_01_BUF_LA,2022090800,1563,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 3 LB, 6 DB",5.0,7.6,1.701,False,GO,MAN_COVERAGE,COVER_1
68,2022_01_BUF_LA,2022090800,1609,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,13.4,3.737,False,CROSS,MAN_COVERAGE,COVER_1
69,2022_01_BUF_LA,2022090800,1635,LA,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,0.640000000000001,2.97,True,FLAT,ZONE_COVERAGE,COVER_3
70,2022_01_BUF_LA,2022090800,1657,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"3 DL, 3 LB, 5 DB",4.0,14.63,2.436,False,IN,ZONE_COVERAGE,COVER_3
72,2022_01_BUF_LA,2022090800,1712,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,4.17,2.402,False,HITCH,ZONE_COVERAGE,COVER_6
78,2022_01_BUF_LA,2022090800,1836,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-3.02,1.134,False,SCREEN,ZONE_COVERAGE,COVER_4
84,2022_01_BUF_LA,2022090800,1967,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,2.36,3.003,True,ANGLE,ZONE_COVERAGE,COVER_2
93,2022_01_BUF_LA,2022090800,2184,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB",4.0,4.37,1.735,False,HITCH,ZONE_COVERAGE,COVER_3
94,2022_01_BUF_LA,2022090800,2208,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",5.0,-4.56,1.736,False,FLAT,ZONE_COVERAGE,COVER_3
95,2022_01_BUF_LA,2022090800,2232,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,5.7,1.635,False,SLANT,ZONE_COVERAGE,COVER_4
99,2022_01_BUF_LA,2022090800,2307,LA,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,20.59,3.303,False,CORNER,ZONE_COVERAGE,COVER_3
100,2022_01_BUF_LA,2022090800,2336,LA,SINGLEBACK,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,3.64,4.037,False,ANGLE,ZONE_COVERAGE,COVER_2
103,2022_01_BUF_LA,2022090800,2400,LA,EMPTY,"1 RB, 1 TE, 3 WR",4.0,"3 DL, 3 LB, 5 DB",4.0,37.59,3.603,False,GO,ZONE_COVERAGE,COVER_2
109,2022_01_BUF_LA,2022090800,2527,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,8.84999999999999,2.603,False,SLANT,ZONE_COVERAGE,COVER_3
111,2022_01_BUF_LA,2022090800,2572,BUF,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",4.0,2.04000000000001,2.269,False,ANGLE,ZONE_COVERAGE,COVER_3
112,2022_01_BUF_LA,2022090800,2599,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB",4.0,4.39,2.102,False,OUT,ZONE_COVERAGE,COVER_2
113,2022_01_BUF_LA,2022090800,2623,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,6.08,1.969,False,HITCH,MAN_COVERAGE,COVER_1
116,2022_01_BUF_LA,2022090800,2688,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"2 DL, 4 LB, 5 DB",5.0,38.74,2.836,True,POST,ZONE_COVERAGE,COVER_3
118,2022_01_BUF_LA,2022090800,2733,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",5.0,9.18000000000001,2.602,False,SLANT,MAN_COVERAGE,COVER_0
122,2022_01_BUF_LA,2022090800,2815,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,2.69,2.369,False,OUT,ZONE_COVERAGE,COVER_4
124,2022_01_BUF_LA,2022090800,2860,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB",4.0,3.25,2.369,True,HITCH,ZONE_COVERAGE,COVER_3
125,2022_01_BUF_LA,2022090800,2884,LA,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB",4.0,3.39,2.77,False,OUT,MAN_COVERAGE,COVER_1
126,2022_01_BUF_LA,2022090800,2908,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,12.18,2.903,True,IN,ZONE_COVERAGE,COVER_3
127,2022_01_BUF_LA,2022090800,2934,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,0.600000000000001,3.571,False,OUT,ZONE_COVERAGE,COVER_3
129,2022_01_BUF_LA,2022090800,2979,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB",4.0,51.22,4.238,False,GO,ZONE_COVERAGE,COVER_6
132,2022_01_BUF_LA,2022090800,3047,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-1.06999999999999,1.635,False,SCREEN,ZONE_COVERAGE,COVER_3
134,2022_01_BUF_LA,2022090800,3092,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-6.06999999999999,2.736,False,FLAT,ZONE_COVERAGE,COVER_4
135,2022_01_BUF_LA,2022090800,3121,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,5.61,3.137,True,HITCH,ZONE_COVERAGE,COVER_2
137,2022_01_BUF_LA,2022090800,3166,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"3 DL, 3 LB, 5 DB",4.0,4.87000000000001,2.502,False,HITCH,ZONE_COVERAGE,COVER_3
138,2022_01_BUF_LA,2022090800,3190,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,1.70999999999999,2.103,False,FLAT,MAN_COVERAGE,2_MAN
139,2022_01_BUF_LA,2022090800,3214,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,4.17,2.302,False,HITCH,ZONE_COVERAGE,COVER_3
145,2022_01_BUF_LA,2022090800,3383,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,6.93000000000001,4.105,True,HITCH,MAN_COVERAGE,2_MAN
146,2022_01_BUF_LA,2022090800,3407,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,3.81999999999999,2.87,True,ANGLE,ZONE_COVERAGE,COVER_3
147,2022_01_BUF_LA,2022090800,3431,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",3.0,"4 DL, 2 LB, 5 DB",4.0,6.0,2.035,False,HITCH,ZONE_COVERAGE,COVER_6
148,2022_01_BUF_LA,2022090800,3455,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,5.73,3.303,False,IN,ZONE_COVERAGE,COVER_3
149,2022_01_BUF_LA,2022090800,3489,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,2.86,3.637,False,HITCH,ZONE_COVERAGE,COVER_4
150,2022_01_BUF_LA,2022090800,3513,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,4.47,2.135,False,HITCH,ZONE_COVERAGE,COVER_3
151,2022_01_BUF_LA,2022090800,3537,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,4.57,1.836,False,HITCH,MAN_COVERAGE,2_MAN
153,2022_01_BUF_LA,2022090800,3576,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,-0.450000000000003,1.535,False,SCREEN,ZONE_COVERAGE,COVER_2
158,2022_01_BUF_LA,2022090800,3674,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,3.86,2.135,False,OUT,ZONE_COVERAGE,COVER_4
159,2022_01_BUF_LA,2022090800,3696,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB",4.0,22.37,2.569,False,GO,ZONE_COVERAGE,COVER_4
166,2022_01_NO_ATL,2022091100,99,ATL,SINGLEBACK,"1 RB, 3 TE, 1 WR",7.0,"4 DL, 2 LB, 5 DB",3.0,13.05,3.07,False,GO,ZONE_COVERAGE,COVER_4
167,2022_01_NO_ATL,2022091100,121,ATL,SHOTGUN,"2 RB, 2 TE, 1 WR",6.0,"3 DL, 2 LB, 6 DB",2.0,1.07,3.103,False,FLAT,ZONE_COVERAGE,COVER_2
169,2022_01_NO_ATL,2022091100,166,ATL,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB",4.0,7.26000000000001,3.37,False,CROSS,ZONE_COVERAGE,COVER_2
170,2022_01_NO_ATL,2022091100,190,ATL,EMPTY,"2 RB, 2 TE, 1 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,-5.75,2.502,False,SCREEN,ZONE_COVERAGE,COVER_4
172,2022_01_NO_ATL,2022091100,233,ATL,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,17.34,7.308,True,OUT,ZONE_COVERAGE,COVER_4
177,2022_01_NO_ATL,2022091100,348,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",5.0,8.75,2.536,False,OUT,MAN_COVERAGE,COVER_1
180,2022_01_NO_ATL,2022091100,419,ATL,EMPTY,"2 RB, 1 TE, 2 WR",5.0,"4 DL, 2 LB, 5 DB",3.0,18.39,2.336,False,GO,ZONE_COVERAGE,COVER_2
182,2022_01_NO_ATL,2022091100,458,ATL,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 2 LB, 6 DB",3.0,-1.84,1.201,False,SCREEN,ZONE_COVERAGE,COVER_2
185,2022_01_NO_ATL,2022091100,522,NO,EMPTY,"2 QB, 1 RB, 2 TE, 1 WR",6.0,"3 DL, 4 LB, 4 DB",3.0,-4.08,1.268,False,SCREEN,ZONE_COVERAGE,COVER_3
187,2022_01_NO_ATL,2022091100,572,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,16.32,2.636,False,CORNER,MAN_COVERAGE,COVER_1
192,2022_01_NO_ATL,2022091100,679,ATL,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,19.07,3.671,False,IN,ZONE_COVERAGE,COVER_4
193,2022_01_NO_ATL,2022091100,719,NO,I_FORM,"2 RB, 2 TE, 1 WR",8.0,"3 DL, 4 LB, 4 DB",4.0,8.88,2.303,False,SLANT,ZONE_COVERAGE,COVER_3
196,2022_01_NO_ATL,2022091100,783,NO,SHOTGUN,"2 QB, 1 RB, 0 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",3.0,1.68,3.971,False,CROSS,MAN_COVERAGE,COVER_1
198,2022_01_NO_ATL,2022091100,828,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"1 DL, 5 LB, 5 DB",7.0,6.87,3.67,True,OUT,MAN_COVERAGE,COVER_0
207,2022_01_NO_ATL,2022091100,1017,ATL,PISTOL,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,-7.65,2.403,False,FLAT,ZONE_COVERAGE,COVER_4
213,2022_01_NO_ATL,2022091100,1141,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 4 LB, 5 DB",4.0,-7.18,2.436,False,FLAT,ZONE_COVERAGE,COVER_3
217,2022_01_NO_ATL,2022091100,1231,ATL,I_FORM,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",2.0,3.73,3.77,False,OUT,MAN_COVERAGE,COVER_1
219,2022_01_NO_ATL,2022091100,1281,ATL,PISTOL,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",3.0,21.16,4.505,False,CROSS,ZONE_COVERAGE,COVER_2
221,2022_01_NO_ATL,2022091100,1335,ATL,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,6.56,2.969,False,IN,ZONE_COVERAGE,COVER_2
222,2022_01_NO_ATL,2022091100,1359,ATL,EMPTY,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 2 LB, 6 DB",3.0,4.04000000000001,2.036,False,HITCH,ZONE_COVERAGE,COVER_2
227,2022_01_NO_ATL,2022091100,1485,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB",4.0,9.44,2.503,False,HITCH,ZONE_COVERAGE,COVER_2
230,2022_01_NO_ATL,2022091100,1552,ATL,PISTOL,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 2 LB, 5 DB",4.0,7.98,2.269,False,SLANT,ZONE_COVERAGE,COVER_3
235,2022_01_NO_ATL,2022091100,1672,ATL,SHOTGUN,"2 RB, 2 TE, 1 WR",7.0,"4 DL, 2 LB, 5 DB",3.0,-2.04,1.769,False,SCREEN,ZONE_COVERAGE,COVER_3
237,2022_01_NO_ATL,2022091100,1713,ATL,SHOTGUN,"2 RB, 2 TE, 1 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,6.69,2.436,False,OUT,ZONE_COVERAGE,COVER_4
240,2022_01_NO_ATL,2022091100,1769,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB",4.0,4.65,2.503,False,HITCH,ZONE_COVERAGE,COVER_3
241,2022_01_NO_ATL,2022091100,1793,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",3.0,22.09,3.603,False,CORNER,ZONE_COVERAGE,COVER_3
245,2022_01_NO_ATL,2022091100,1887,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 2 LB, 6 DB",3.0,17.6,3.036,False,IN,ZONE_COVERAGE,COVER_2
247,2022_01_NO_ATL,2022091100,1928,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"3 DL, 1 LB, 7 DB",3.0,4.86,1.635,False,SLANT,ZONE_COVERAGE,COVER_2
255,2022_01_NO_ATL,2022091100,2090,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",6.0,11.95,2.836,True,OUT,MAN_COVERAGE,COVER_1
257,2022_01_NO_ATL,2022091100,2135,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",5.0,4.04,2.302,False,OUT,ZONE_COVERAGE,COVER_2
258,2022_01_NO_ATL,2022091100,2159,NO,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",5.0,3.93,2.235,False,OUT,ZONE_COVERAGE,COVER_3
260,2022_01_NO_ATL,2022091100,2204,NO,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",4.0,19.29,3.103,False,POST,ZONE_COVERAGE,COVER_3
262,2022_01_NO_ATL,2022091100,2245,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"2 DL, 4 LB, 5 DB",4.0,6.34,5.272,True,HITCH,ZONE_COVERAGE,COVER_3
265,2022_01_NO_ATL,2022091100,2303,ATL,SINGLEBACK,"2 RB, 1 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB",3.0,6.01,2.703,False,CROSS,MAN_COVERAGE,COVER_1
268,2022_01_NO_ATL,2022091100,2374,ATL,PISTOL,"2 RB, 1 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB",4.0,15.2,3.437,False,OUT,ZONE_COVERAGE,COVER_4
275,2022_01_NO_ATL,2022091100,2533,NO,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",4.0,4.63,2.736,False,OUT,MAN_COVERAGE,COVER_1
276,2022_01_NO_ATL,2022091100,2555,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 4 LB, 5 DB",6.0,-6.62000000000001,3.403,True,FLAT,ZONE_COVERAGE,COVER_2
278,2022_01_NO_ATL,2022091100,2616,ATL,PISTOL,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,15.49,3.136,False,OUT,ZONE_COVERAGE,COVER_3
280,2022_01_NO_ATL,2022091100,2661,ATL,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB",3.0,7.38,1.968,False,IN,MAN_COVERAGE,COVER_1
284,2022_01_NO_ATL,2022091100,2762,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"1 DL, 5 LB, 5 DB",4.0,7.79000000000001,1.935,False,SLANT,MAN_COVERAGE,COVER_1
292,2022_01_NO_ATL,2022091100,2960,ATL,PISTOL,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",3.0,11.01,3.703,False,CROSS,ZONE_COVERAGE,COVER_3
295,2022_01_NO_ATL,2022091100,3028,ATL,SHOTGUN,"1 RB, 3 TE, 1 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,3.86,2.469,False,IN,ZONE_COVERAGE,COVER_6
296,2022_01_NO_ATL,2022091100,3050,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,17.14,4.939,False,HITCH,ZONE_COVERAGE,COVER_2
299,2022_01_NO_ATL,2022091100,3119,NO,SHOTGUN,"2 QB, 1 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",4.0,16.81,3.003,False,CORNER,ZONE_COVERAGE,COVER_3
300,2022_01_NO_ATL,2022091100,3148,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB",4.0,3.81,3.17,False,ANGLE,ZONE_COVERAGE,COVER_2
301,2022_01_NO_ATL,2022091100,3177,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"2 DL, 4 LB, 5 DB",4.0,19.39,2.636,False,GO,ZONE_COVERAGE,COVER_3
302,2022_01_NO_ATL,2022091100,3201,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 4 LB, 5 DB",6.0,5.58,1.768,False,GO,MAN_COVERAGE,COVER_0
305,2022_01_NO_ATL,2022091100,3267,ATL,PISTOL,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",3.0,13.26,3.77,True,HITCH,ZONE_COVERAGE,COVER_4
307,2022_01_NO_ATL,2022091100,3310,ATL,PISTOL,"1 RB, 2 TE, 2 WR",5.0,"3 DL, 2 LB, 6 DB",4.0,12.08,3.637,False,HITCH,ZONE_COVERAGE,COVER_3
309,2022_01_NO_ATL,2022091100,3355,ATL,SHOTGUN,"2 RB, 1 TE, 2 WR",5.0,"4 DL, 3 LB, 4 DB",4.0,6.78,2.536,True,IN,ZONE_COVERAGE,COVER_2
313,2022_01_NO_ATL,2022091100,3446,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB",4.0,20.09,2.97,False,OUT,ZONE_COVERAGE,COVER_2
314,2022_01_NO_ATL,2022091100,3475,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",5.0,6.83,3.504,True,IN,MAN_COVERAGE,COVER_1
315,2022_01_NO_ATL,2022091100,3504,NO,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 4 LB, 5 DB",5.0,3.8,1.768,True,HITCH,ZONE_COVERAGE,COVER_6
