,nflverse_game_id,old_game_id,play_id,possession_team,offense_formation,offense_personnel,defenders_in_box,defense_personnel,number_of_pass_rushers,ngs_air_yards,time_to_throw,was_pressure,route,defense_man_zone_type,defense_coverage_type
2,2022_01_BUF_LA,2022090800,56,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,4.52,2.169,False,IN,ZONE_COVERAGE,COVER_6
5,2022_01_BUF_LA,2022090800,122,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",5.0,-3.52,2.903,True,FLAT,ZONE_COVERAGE,COVER_3
7,2022_01_BUF_LA,2022090800,167,BUF,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,4.31,1.868,False,SLANT,ZONE_COVERAGE,COVER_3
9,2022_01_BUF_LA,2022090800,212,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,5.65,4.905,False,ANGLE,MAN_COVERAGE,COVER_1
10,2022_01_BUF_LA,2022090800,236,BUF,I_FORM,"2 RB, 2 TE, 1 WR",7.0,"3 DL, 4 LB, 4 DB",3.0,14.63,2.636,False,CORNER,ZONE_COVERAGE,COVER_3
16,2022_01_BUF_LA,2022090800,364,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,20.93,4.004,True,CORNER,ZONE_COVERAGE,COVER_6
18,2022_01_BUF_LA,2022090800,414,LA,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB",4.0,-3.73,2.502,False,SCREEN,ZONE_COVERAGE,COVER_4
19,2022_01_BUF_LA,2022090800,438,LA,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-1.47,3.636,False,CROSS,ZONE_COVERAGE,COVER_2
21,2022_01_BUF_LA,2022090800,486,LA,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB",4.0,4.35,2.169,True,GO,ZONE_COVERAGE,COVER_3
25,2022_01_BUF_LA,2022090800,569,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,7.11,1.868,False,IN,ZONE_COVERAGE,COVER_3
26,2022_01_BUF_LA,2022090800,593,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-1.26000000000001,1.368,False,SCREEN,ZONE_COVERAGE,COVER_4
27,2022_01_BUF_LA,2022090800,617,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,10.07,2.669,False,GO,ZONE_COVERAGE,COVER_3
28,2022_01_BUF_LA,2022090800,646,BUF,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",3.0,-2.43000000000001,2.336,False,SCREEN,ZONE_COVERAGE,COVER_3
29,2022_01_BUF_LA,2022090800,692,BUF,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"3 DL, 4 LB, 4 DB",4.0,1.32,2.769,False,FLAT,ZONE_COVERAGE,COVER_3
30,2022_01_BUF_LA,2022090800,721,BUF,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,5.01,1.869,False,SLANT,ZONE_COVERAGE,COVER_3
32,2022_01_BUF_LA,2022090800,775,LA,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,4.5,2.369,False,HITCH,ZONE_COVERAGE,COVER_3
34,2022_01_BUF_LA,2022090800,818,LA,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-3.92,2.703,True,SCREEN,ZONE_COVERAGE,COVER_2
