,nflverse_game_id,old_game_id,play_id,possession_team,offense_formation,offense_personnel,defenders_in_box,defense_personnel,number_of_pass_rushers,ngs_air_yards,time_to_throw,was_pressure,route,defense_man_zone_type,defense_coverage_type
3,2018_01_ATL_PHI,2018090600,75,ATL,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,8.89,2.502,False,HITCH,ZONE_COVERAGE,COVER_3
6,2018_01_ATL_PHI,2018090600,146,ATL,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,4.21,2.068,False,HITCH,ZONE_COVERAGE,COVER_3
7,2018_01_ATL_PHI,2018090600,168,ATL,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,-2.9,2.236,False,SCREEN,ZONE_COVERAGE,COVER_3
8,2018_01_ATL_PHI,2018090600,190,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB",5.0,23.01,2.836,True,CORNER,ZONE_COVERAGE,COVER_3
11,2018_01_ATL_PHI,2018090600,256,ATL,SHOTGUN,"2 RB, 3 TE, 0 WR",8.0,"6 DL, 3 LB, 2 DB",6.0,2.13,1.935,False,OUT,MAN_COVERAGE,COVER_0
14,2018_01_ATL_PHI,2018090600,320,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",4.0,3.58,1.802,False,OUT,ZONE_COVERAGE,COVER_3
15,2018_01_ATL_PHI,2018090600,344,PHI,EMPTY,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,5.54,2.302,False,OUT,ZONE_COVERAGE,COVER_3
17,2018_01_ATL_PHI,2018090600,402,ATL,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,16.89,3.537,False,HITCH,ZONE_COVERAGE,COVER_3
21,2018_01_ATL_PHI,2018090600,492,ATL,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 2 LB, 5 DB",4.0,-8.67,3.069,False,FLAT,MAN_COVERAGE,COVER_1
22,2018_01_ATL_PHI,2018090600,521,ATL,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 2 LB, 5 DB",3.0,2.43,3.537,False,FLAT,MAN_COVERAGE,COVER_1
25,2018_01_ATL_PHI,2018090600,636,ATL,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,3.69,2.348,False,IN,MAN_COVERAGE,COVER_1
30,2018_01_ATL_PHI,2018090600,752,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",3.0,4.88,2.139,False,IN,ZONE_COVERAGE,COVER_3
36,2018_01_ATL_PHI,2018090600,889,ATL,I_FORM,"2 RB, 1 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB",4.0,13.58,2.794,False,POST,ZONE_COVERAGE,COVER_3
39,2018_01_ATL_PHI,2018090600,949,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 1 LB, 6 DB",4.0,-6.46,2.036,False,FLAT,ZONE_COVERAGE,COVER_3
41,2018_01_ATL_PHI,2018090600,992,PHI,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB",4.0,-1.43000000000001,2.769,False,CROSS,ZONE_COVERAGE,COVER_3
43,2018_01_ATL_PHI,2018090600,1037,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",5.0,10.56,3.537,True,HITCH,MAN_COVERAGE,COVER_1
44,2018_01_ATL_PHI,2018090600,1061,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,5.36,2.703,False,IN,MAN_COVERAGE,COVER_1
45,2018_01_ATL_PHI,2018090600,1085,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",4.0,5.02,2.54,False,OUT,ZONE_COVERAGE,COVER_3
50,2018_01_ATL_PHI,2018090600,1202,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB",4.0,2.05,2.969,True,ANGLE,ZONE_COVERAGE,COVER_3
53,2018_01_ATL_PHI,2018090600,1295,PHI,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB",4.0,21.47,2.436,False,GO,MAN_COVERAGE,COVER_1
55,2018_01_ATL_PHI,2018090600,1344,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,10.99,3.504,False,HITCH,ZONE_COVERAGE,COVER_3
59,2018_01_ATL_PHI,2018090600,1423,ATL,SINGLEBACK,"1 RB, 3 TE, 1 WR",7.0,"4 DL, 3 LB, 4 DB",4.0,23.16,3.67,True,OUT,MAN_COVERAGE,COVER_1
61,2018_01_ATL_PHI,2018090600,1473,ATL,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,6.01000000000001,2.403,True,HITCH,ZONE_COVERAGE,COVER_2
64,2018_01_ATL_PHI,2018090600,1546,ATL,PISTOL,"2 RB, 0 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,18.45,2.803,True,GO,ZONE_COVERAGE,COVER_2
68,2018_01_ATL_PHI,2018090600,1628,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,-4.55,2.469,False,FLAT,ZONE_COVERAGE,COVER_3
70,2018_01_ATL_PHI,2018090600,1680,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,3.25,2.569,True,CROSS,ZONE_COVERAGE,COVER_3
72,2018_01_ATL_PHI,2018090600,1750,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,3.8,1.868,False,FLAT,ZONE_COVERAGE,COVER_3
73,2018_01_ATL_PHI,2018090600,1779,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,-4.44,2.302,True,FLAT,ZONE_COVERAGE,COVER_3
74,2018_01_ATL_PHI,2018090600,1801,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB",4.0,8.39,3.07,True,OUT,MAN_COVERAGE,COVER_1
77,2018_01_ATL_PHI,2018090600,1869,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,12.68,2.302,False,OUT,ZONE_COVERAGE,COVER_3
78,2018_01_ATL_PHI,2018090600,1894,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,16.35,2.837,True,POST,ZONE_COVERAGE,COVER_2
79,2018_01_ATL_PHI,2018090600,1916,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 1 LB, 6 DB",4.0,3.83,2.302,True,ANGLE,ZONE_COVERAGE,COVER_4
80,2018_01_ATL_PHI,2018090600,1940,ATL,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 1 LB, 6 DB",4.0,4.18,2.47,False,IN,MAN_COVERAGE,COVER_1
84,2018_01_ATL_PHI,2018090600,2055,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,41.51,3.57,True,POST,ZONE_COVERAGE,COVER_3
86,2018_01_ATL_PHI,2018090600,2094,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",5.0,22.04,2.269,True,GO,MAN_COVERAGE,2_MAN
87,2018_01_ATL_PHI,2018090600,2116,PHI,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB",4.0,-5.38,2.603,True,FLAT,ZONE_COVERAGE,COVER_3
93,2018_01_ATL_PHI,2018090600,2260,PHI,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB",3.0,4.3,2.403,False,HITCH,ZONE_COVERAGE,COVER_3
97,2018_01_ATL_PHI,2018090600,2360,PHI,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB",4.0,20.19,3.937,False,CROSS,ZONE_COVERAGE,COVER_3
98,2018_01_ATL_PHI,2018090600,2382,PHI,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",5.0,-0.540000000000006,1.435,False,FLAT,ZONE_COVERAGE,COVER_3
101,2018_01_ATL_PHI,2018090600,2450,ATL,SINGLEBACK,"1 RB, 3 TE, 1 WR",8.0,"4 DL, 3 LB, 4 DB",5.0,4.46,1.869,False,HITCH,MAN_COVERAGE,COVER_1
102,2018_01_ATL_PHI,2018090600,2474,ATL,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",3.0,44.91,4.104,True,GO,ZONE_COVERAGE,COVER_3
