,nflverse_game_id,old_game_id,play_id,possession_team,offense_formation,offense_personnel,defenders_in_box,defense_personnel,number_of_pass_rushers,ngs_air_yards,time_to_throw,was_pressure,route,defense_man_zone_type,defense_coverage_type
3,2023_01_ARI_WAS,2023091007,77,WAS,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,4.53,2.169,False,HITCH,ZONE_COVERAGE,COVER_3
5,2023_01_ARI_WAS,2023091007,124,WAS,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,9.79,2.736,False,IN,ZONE_COVERAGE,COVER_4
6,2023_01_ARI_WAS,2023091007,147,WAS,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,12.99,3.971,True,HITCH,ZONE_COVERAGE,COVER_4
7,2023_01_ARI_WAS,2023091007,172,WAS,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB",5.0,-3.57,1.517,False,SCREEN,ZONE_COVERAGE,COVER_4
8,2023_01_ARI_WAS,2023091007,197,WAS,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,2.31,2.436,False,HITCH,MAN_COVERAGE,COVER_1
9,2023_01_ARI_WAS,2023091007,220,WAS,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"1 DL, 5 LB, 5 DB",7.0,-3.21,2.202,False,FLAT,MAN_COVERAGE,COVER_0
14,2023_01_ARI_WAS,2023091007,332,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,5.39,2.269,True,IN,MAN_COVERAGE,COVER_1
15,2023_01_ARI_WAS,2023091007,357,ARI,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"5 DL, 1 LB, 5 DB",5.0,2.48,2.536,False,CROSS,ZONE_COVERAGE,COVER_3
16,2023_01_ARI_WAS,2023091007,380,ARI,I_FORM,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,-4.73,2.503,True,SCREEN,MAN_COVERAGE,COVER_1
24,2023_01_ARI_WAS,2023091007,580,WAS,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 3 LB, 5 DB",4.0,2.59,2.235,False,FLAT,ZONE_COVERAGE,COVER_4
28,2023_01_ARI_WAS,2023091007,699,WAS,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,7.31999999999999,6.14,False,ANGLE,MAN_COVERAGE,COVER_1
34,2023_01_ARI_WAS,2023091007,812,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,-5.98,3.003,False,SCREEN,MAN_COVERAGE,COVER_1
35,2023_01_ARI_WAS,2023091007,842,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,15.89,3.303,False,WHEEL,ZONE_COVERAGE,COVER_6
36,2023_01_ARI_WAS,2023091007,883,ARI,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB",4.0,12.83,2.97,True,POST,MAN_COVERAGE,COVER_1
39,2023_01_ARI_WAS,2023091007,935,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB",4.0,8.6,2.336,False,IN,ZONE_COVERAGE,COVER_4
47,2023_01_ARI_WAS,2023091007,1140,WAS,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB",4.0,15.15,4.238,True,HITCH,ZONE_COVERAGE,COVER_2
48,2023_01_ARI_WAS,2023091007,1167,ARI,EMPTY,"1 RB, 3 TE, 1 WR",6.0,"5 DL, 2 LB, 4 DB",4.0,2.95,3.27,False,HITCH,ZONE_COVERAGE,COVER_4
50,2023_01_ARI_WAS,2023091007,1214,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 1 LB, 6 DB",6.0,8.59,1.735,False,SLANT,ZONE_COVERAGE,COVER_3
58,2023_01_ARI_WAS,2023091007,1371,WAS,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,13.56,2.803,True,CROSS,MAN_COVERAGE,COVER_1
59,2023_01_ARI_WAS,2023091007,1399,WAS,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB",4.0,0.810000000000002,1.568,False,FLAT,MAN_COVERAGE,COVER_1
